ID,Teff,e_Teff,Plx,e_Plx,distance,e_distance,e_Plx_relative,R_all_det,e_R_all_det,Z_all_det,R_J_MC,e_R_J_MC,R_H_MC,e_R_H_MC,R_K_MC,e_R_K_MC,R_IR,e_R_IR,R_IR_median,R_IR_p16,R_IR_p84,Z_IR,R_A,e_R_A,delta_R_all_det,delta_R_IR
WASP-012,6313,52,2.421,0.0166,413.0524576621231,2.832164724159952,0.6856670797191243,1.5237589571800363,0.012382283010420745,-2.7969845247194676,1.6055071794041413,0.023686665568868438,1.6484085567803894,0.02193664705138621,1.6215685604764278,0.020000721000410292,1.6251614322203192,0.028177211813733456,1.6248956421894736,1.5970508824823682,1.6537928584309778,-0.590215168891986,1.657,0.046,-0.13324104281996374,-0.03183856777968086
WASP-013,6025,21,4.331,0.0195,230.8935580697298,1.0395807855829442,0.45024243823597315,1.517829215848378,0.0061021652671086795,-1.7564235087477704,1.5206670734785142,0.017167272575572306,1.5363291820096558,0.013677368013901913,1.5241786056785425,0.013354005596433115,1.5270582870555707,0.01628051260464364,1.5273157273494888,1.5108944745312758,1.543275910396458,-1.6109784069710913,1.657,0.079,-0.1391707841516221,-0.12994171294442936
WASP-014,6462,75,6.221,0.0172,160.74586079408456,0.44443478631381683,0.27648288056582543,1.2887975568887422,0.012037560611503243,-0.3049557446812672,1.2877425280808106,0.01935911909283363,1.309476606489439,0.01502454454806674,1.2861513649487362,0.014177837697925988,1.2944568331729953,0.0195033132574962,1.2941559728966494,1.2750163400676104,1.3143878978434178,-0.24275977398261073,1.318,0.095,-0.02920244311125786,-0.023543166827004747
WASP-015,6573,70,3.489,0.0176,286.61507595299514,1.4458083510383246,0.5044425336772714,1.3260840892919163,0.01255760230253927,-4.2816697619806305,1.3651798798685117,0.02124484212735909,1.416650209520977,0.019998160593331326,1.385630058520822,0.017874840013005648,1.3891533826367704,0.028948025303874716,1.3882305513478328,1.35977649242502,1.419517369166547,-2.5223084703370544,1.522,0.044,-0.19591591070808367,-0.13284661736322967
WASP-016,5630,70,5.191,0.0262,192.64110961279135,0.9722976443566046,0.5047197071855134,1.0471486332959377,0.011936102391104956,-0.9127002526848691,1.066497236108072,0.02003003012745206,1.075681759634806,0.015049563013394069,1.0643196161866693,0.014631793388696935,1.0688328706431824,0.01745908617641588,1.0687918304389297,1.0517323563995746,1.0860635152970926,-0.3994155677365026,1.087,0.042,-0.03985136670406231,-0.018167129356817524
WASP-017,6550,100,2.481,0.0255,403.0632809351068,4.142730215173407,1.0278113663845223,1.4557495125668658,0.020214804738459137,-2.7837093718382313,1.507563556648016,0.033169464582527314,1.5159657872430115,0.0263916859518274,1.5370082838437757,0.027449096579444474,1.5201792092449344,0.031676269026037526,1.520434356515509,1.489078953726585,1.551468735896779,-1.2124976753276762,1.583,0.041,-0.12725048743313416,-0.06282079075506553
WASP-018,6400,70,8.144,0.0116,122.78978388998036,0.17489703992187772,0.1424361493123772,1.2353593851290061,0.011074591054059394,-0.6522830135935387,1.2235589084248017,0.017097722012242748,1.2193967302236872,0.03183233737984916,1.2354879552711737,0.017235321798312254,1.2261478646398876,0.024097729652391937,1.2271957928918185,1.2040655180030342,1.2485110761063802,-0.7810148182370005,1.255,0.028,-0.019640614870993778,-0.02885213536011233
WASP-019,5460,90,3.752,0.009,266.52452025586354,0.6393178790785641,0.23987206823027718,1.0159538469825002,0.014221994115588237,-0.09898955910972503,0.9959042548526359,0.023110503867412507,0.9837202299878769,0.015235192168240376,0.9928029241205877,0.014513143557735341,0.9908091363203667,0.01877021904781713,0.9900682612378101,0.9729469914376413,1.0084704075246966,-1.1316556046425268,1.018,0.015,-0.0020461530174997744,-0.027190863679633304
WASP-020,5987,20,3.47,0.7095,288.1844380403458,58.924166798162915,20.446685878962537,1.700508825555521,0.12344633290551846,3.4896110404780067,1.7830475006725062,0.43620606589966454,1.81382097616275,0.4430568322282254,1.7696154742673622,0.4323769740848895,1.7888279837008725,0.4376124306491128,1.7023052473502491,1.412908213955736,2.148447308822701,1.2430167689499128,1.242,0.045,0.45850882555552097,0.5468279837008725
WASP-021,5924,55,3.909,0.0197,255.81990278843693,1.2892433064549007,0.5039652084932208,1.1197015813221427,0.009734999206305876,-0.31390919342953677,1.1392031803377536,0.017299272867897605,1.1372441478251287,0.01444258794006318,1.1506903226831802,0.012207839254350362,1.1423792169486875,0.015941297243900452,1.142835215277349,1.1264389692525762,1.1582141649565991,0.11938638773542476,1.136,0.051,-0.016298418677857196,0.006379216948687594
WASP-022,6153,46,3.153,0.0327,317.1582619727244,3.2892721745981883,1.0371075166508088,1.154397398879061,0.0094527485966444,-3.198403504574198,1.175485010135837,0.01878018156238223,1.1911838476199907,0.01820535176673903,1.1878731141474654,0.016977522365475915,1.1848473239677644,0.01922902247064744,1.1849028633179355,1.1659211504053932,1.2039365866517755,-1.9687212281438022,1.255,0.03,-0.10060260112093888,-0.07015267603223552
WASP-023,5046,99,4.86,0.0086,205.76131687242795,0.3641043878812511,0.17695473251028807,0.8298188069387109,0.014320366376651818,0.30074609763076876,0.8311889447295009,0.02290433925453793,0.8354472667222035,0.01421776861861087,0.8156319538135266,0.012858434956801529,0.827422721755077,0.01923227145115793,0.826501961127208,0.8083507875287801,0.8462704641275058,0.2205172811614011,0.819,0.033,0.010818806938710956,0.008422721755077078
WASP-024,6107,77,3.033,0.0208,329.7065611605671,2.2610934626243964,0.6857896472139796,1.340676565149032,0.0153597187379327,0.540774986114267,1.3462218331557756,0.024606890417896467,1.3500704257924037,0.021477021439243797,1.3470818128831836,0.019724081904143365,1.3477913572771207,0.02208970454628633,1.3477618114033492,1.3259036616393756,1.3696475644226986,0.6611554122040855,1.317,0.041,0.023676565149032047,0.03079135727712079
WASP-025,5736,35,4.65,0.023,215.0537634408602,1.0637067869117816,0.49462365591397844,0.872105690055522,0.005455350341391854,-2.7590835927912596,0.8792571336373454,0.013088271496322718,0.8949284678887736,0.011223428782179436,0.8974331441179624,0.010249322871221551,0.8905395818813604,0.014099333674824686,0.8916427383757383,0.8763356633365182,0.9043215358305251,-1.4634140660755317,0.924,0.018,-0.05189430994447808,-0.033460418118639645
WASP-026,6015,55,3.957,0.0247,252.71670457417238,1.5774835994394893,0.6242102602982057,1.2675064736279953,0.010822914245697807,-0.43875453669590025,1.281649952016158,0.019995306133123465,1.2817362244797248,0.017544537568954043,1.2857482964180118,0.017413129846369498,1.2830448243046315,0.018454809622129576,1.282979382711615,1.2645799133870539,1.3012315643134031,-0.023611014270612775,1.284,0.036,-0.01649352637200474,-0.0009551756953685153
WASP-028,6084,45,2.922,0.0151,342.23134839151265,1.7685466669102812,0.5167693360711841,1.072278590702558,0.0077867256854040135,-0.4094548210332934,1.0590098533225474,0.01606926142280294,1.0946748998062608,0.013949010499215285,1.0732569463610255,0.013825597112772989,1.0756472331632778,0.02072429913799126,1.075414612131384,1.0545786648165054,1.0971482484010868,-0.22642699744622843,1.083,0.025,-0.01072140929744192,-0.007352766836722147
WASP-029,4875,65,11.435,0.0151,87.4508089199825,0.11547942410946532,0.1320507214691736,0.7491322376448925,0.008942982724410135,-1.3110967714727855,0.7734076622015423,0.015960489411838898,0.7738779240368746,0.01017166986536662,0.7617623984074271,0.009458102446907484,0.7696826615486146,0.013439190365637862,0.7691053626869366,0.7565437752901605,0.7826792493017563,-0.8328652164539355,0.808,0.044,-0.0588677623551076,-0.03831733845138541
WASP-030,6190,50,2.808,0.0202,356.1253561253562,2.5618704393633176,0.7193732193732194,1.407751350359923,0.011563299550531689,0.5362543582372935,1.3970697172365103,0.022665738035920233,1.4028263947542479,0.0192402116286955,1.4087295720374966,0.01965473721596107,1.4028752280094183,0.021119717363267593,1.4029880964159334,1.3821456730253623,1.4234870742687062,0.3541440356198836,1.389,0.033,0.018751350359923036,0.013875228009418317
WASP-031,6175,70,2.576,0.0163,388.19875776397515,2.456381891130743,0.6327639751552795,1.2711336601490126,0.013506474282959929,0.5366025207245845,1.2771226663941313,0.021268975845555083,1.2609236381508382,0.017189173552785403,1.2544824809724147,0.019128052116659605,1.2641762618391281,0.0214927317930786,1.2632589661455365,1.2432386308416092,1.2854093471975512,0.30918386895243266,1.252,0.033,0.019133660149012632,0.012176261839128122
WASP-032,6100,100,3.571,0.0373,280.0336040324839,2.925021963150839,1.044525343041165,1.1323879167273767,0.016895491973963988,0.4241948611532957,1.1249481003991777,0.02564698885831042,1.1328109572746663,0.02214693522231179,1.1398922202903128,0.019879261570122903,1.1325504259880526,0.023488336243849287,1.1330483955519852,1.1091699324475857,1.155537966258902,0.4082100507172774,1.11,0.05,0.02238791672737661,0.022550425988052458
WASP-033,7430,100,8.224,0.0327,121.5953307392996,0.48348337976350886,0.3976167315175097,1.5290250312791798,0.016661917439380336,0.5835401063953735,1.544724033646084,0.02550185352998321,1.5470284730711403,0.021146573894411907,1.5377260684907055,0.021046731676617518,1.54315952506931,0.02300235345528984,1.5427715653764482,1.5202686289346066,1.5659097875597903,0.9036063174099003,1.509,0.03,0.020025031279179872,0.03415952506931008
WASP-034,5704,26,7.621,0.0164,131.2163758037003,0.2823708913765497,0.2151948563180685,1.0485276687012,0.0049826730560157744,0.9868801991243792,1.0395661539067027,0.013828705675653943,1.057502293738695,0.020987788622549058,1.0380722361489043,0.010523623264283972,1.0450468945981006,0.018039278072690318,1.0426796468202562,1.0285832077271102,1.0616938156110265,0.9480715639530273,0.93,0.12,0.1185276687011999,0.11504689459810058
WASP-035,6072,62,4.941,0.016,202.38818053025702,0.6553756098935666,0.32382108884841126,1.070480724704823,0.009806562468520798,-0.6184395428084936,1.081929033882857,0.019019122546887264,1.1063183829069398,0.01418180288498985,1.1052717582549623,0.012820516880604578,1.0978397250149197,0.019213304870380407,1.0999828800321496,1.0788262139849178,1.1161534943647444,0.2200615497926915,1.09,0.03,-0.019519275295177163,0.007839725014919585
WASP-036,5928,59,2.649,0.0129,377.5009437523594,1.838339816687594,0.4869762174405436,0.9246087149911337,0.008795864379661632,-3.6525909979390008,0.9354018719189913,0.016392372748701103,0.933193264746428,0.013955823782409227,0.9243468726897208,0.013068136036542362,0.9309806697850467,0.015304258087705639,0.9304824418046729,0.9158583427219199,0.9461536292050677,-2.6043763193065566,0.985,0.014,-0.06039128500886626,-0.05401933021495331
WASP-037,5940,55,2.626,0.0173,380.8073115003808,2.5087458069141615,0.6587966488956588,1.0126049172771105,0.009010396976398952,0.17866136105083133,1.0000745385166,0.015729876261989295,1.0209155076228589,0.015005796755955625,1.0274814463325874,0.013939736483309638,1.0161571641573488,0.018942196566613893,1.0172446363695176,0.9965994962280573,1.0350327789522973,0.23376686312600028,1.003,0.053,0.009604917277110658,0.01315716415734891
WASP-038,6436,60,7.337,0.0181,136.2954886193267,0.3362339299454564,0.24669483440098133,1.350236023096074,0.010813623794190964,0.007401300221681418,1.4299490944269895,0.02054651560439382,1.425172961415858,0.03232450501647752,1.4522558594051622,0.028034805199724296,1.4357926384160034,0.029837387902617706,1.4352047390463112,1.4072015365335957,1.4647400961378392,2.0276397255443013,1.35,0.03,0.0002360230960738452,0.08579263841600326
WASP-039,5485,50,4.644,0.0144,215.33161068044785,0.6676949168385978,0.31007751937984496,0.8882840276006014,0.00759534230023182,-2.1790623575727976,0.8996260320555904,0.014377630872100883,0.9075563925512159,0.01149103694018713,0.9112485562213635,0.011094773744895732,0.9061436602760566,0.0133211738292376,0.9065784388658136,0.8932101035173852,0.9191482651037786,-1.277525166972213,0.939,0.022,-0.05071597239939851,-0.032856339723943306
WASP-041,5546,33,6.119,0.0203,163.42539630658604,0.5421695612066835,0.33175355450236965,0.8564631567062375,0.005016418028913031,-2.2709602289838124,0.8735275404640893,0.011756248375593633,0.8821786415831971,0.010661507501789184,0.8741754109042624,0.008783111663742262,0.8766271976505162,0.011186859014067867,0.8764305510311149,0.8657029807148428,0.8876883980466492,-0.571315022158209,0.886,0.012,-0.029536843293762494,-0.009372802349483789
WASP-042,5315,79,5.621,0.0153,177.90428749332858,0.48424401328018635,0.2721935598647927,0.815885486697721,0.010239709598643038,-3.257843065474212,0.8110621021438126,0.01776280338127366,0.8419433560346664,0.012479620254143765,0.826392391075545,0.011374950086414835,0.8264659497513412,0.01895131906457201,0.8275741475210804,0.8077356276426672,0.845084898162511,-2.3167577692908816,0.892,0.021,-0.07611451330227903,-0.06553405024865877
WASP-043,4240,30,11.474,0.0163,87.15356458079135,0.12381062425195218,0.1420603102666899,0.702826758398188,0.005027566436906423,0.32448004121480334,0.6989066081935984,0.010926314254337524,0.6773667035114932,0.00954273091541379,0.6663834336142729,0.00945211775440855,0.6808855817731215,0.016805168327533673,0.6788384057625546,0.6638625585820016,0.6997345932646374,-0.782456755993524,0.698,0.014,0.004826758398188025,-0.017114418226878425
WASP-044,5400,150,2.764,0.0199,361.794500723589,2.604815689001238,0.7199710564399422,0.9727411388998947,0.023967615035914387,2.398131165522643,0.9537374426501006,0.03451020912379356,0.9280094814343953,0.02193227260541409,0.9139098612372778,0.01983626405867866,0.931885595107258,0.03098924803496308,0.9277342269502369,0.9026302036799307,0.9609307150725916,1.3640655546977807,0.865,0.038,0.10774113889989467,0.066885595107258
WASP-045,5100,200,4.652,0.0226,214.96130696474634,1.044309014919017,0.48581255374032667,0.9468509115058709,0.03230050183007362,0.741807009482267,0.9376770224795786,0.04935852943410639,0.9297940029477563,0.028800117230523118,0.9076147971160193,0.02359409694181827,0.9250286075144514,0.03789496950722262,0.9209625603124918,0.8901166119410578,0.9596978683299846,0.17898768064601941,0.917,0.024,0.029850911505870825,0.008028607514451336
WASP-046,5600,150,2.688,0.0131,372.02380952380946,1.8130624645691609,0.48735119047619047,0.9673854981249468,0.021904142089081338,3.146183584695414,0.9275518405776293,0.030631245998628254,0.9091593338726532,0.019811172636119475,0.8999597785314402,0.018132029492236294,0.9122236509939075,0.0261672493085584,0.909452838179606,0.8875998395313491,0.9366103682589081,1.4421362613097846,0.858,0.027,0.1093854981249468,0.05422365099390747
WASP-047b,5576,67,3.701,0.0201,270.1972439881113,1.4674316682412962,0.5430964604161037,1.1076094327639971,0.01241693479779702,-1.6348787480853244,1.123805816846842,0.02058419728780901,1.1251355512044836,0.016129506367710322,1.1335486269068633,0.017247916313663476,1.1274966649860632,0.01859319469404126,1.1274850613989524,1.1089814157853661,1.1458850396325746,-0.41888619607507616,1.137,0.013,-0.029390567236002862,-0.009503335013936853
WASP-047c,5576,67,3.701,0.0201,270.1972439881113,1.4674316682412962,0.5430964604161037,1.1077158528902575,0.012340350690896961,-1.633758493333261,1.1239399270282813,0.020391107475837392,1.1251953815448483,0.016046767265028128,1.1332709712913724,0.016831162390772772,1.127468759954834,0.01832856180937959,1.1274068242613304,1.1094291224762225,1.1455435820619007,-0.42416141892843284,1.137,0.013,-0.029284147109742475,-0.009531240045165923
WASP-047d,5576,67,3.701,0.0201,270.1972439881113,1.4674316682412962,0.5430964604161037,1.1078338339596472,0.012313941755427184,-1.6288276205613268,1.123305267997836,0.020481363760162474,1.1246414347400124,0.015973801526593324,1.133166996756002,0.01685555059585499,1.1270378998312836,0.01840233305675123,1.126950147961062,1.109006764366702,1.1451631850888264,-0.4421508650650748,1.137,0.013,-0.029166166040352826,-0.009962100168716459
