ID,log(g),e_,[Fe/H],e_,Teff [K],e_,E(B-V),Plx [mas],e_,mBT [mag],e_,mVT [mag],e_,mG [mag],e_,mBP [mag],e_,mRP [mag],e_,mJ [mag],e_,mH [mag],e_,mK [mag],e_,BC_BT [mag],e_,BC_VT [mag],e_,BC_G [mag],e_,BC_BP [mag],e_,BC_RP [mag],e_,BC_J [mag],e_,BC_H [mag],e_,BC_K [mag],e_,R_star_old [solar ray],e_,R_exo_old [solar ray],e_
WASP-147,4.0,0.1,0.09,0.07,5700,100,0,2.153,0.0188,13.188,0.318,12.731,0.263,12.173,0.002779,12.49,0.002886,11.695,0.003826,11.174,0.023,10.907,0.025,10.857,0.025,-0.894,0.063,-0.132,0.021,0.082,0.009,-0.255,0.025,0.575,0.011,1.137,0.035,1.428,0.053,1.519,0.057,1.37,0.08,1.115,0.14
WASP-148,4.497,0.025,0.25,0.04,5437,21,0,4.015,0.0098,13.674,0.435,12.179,0.214,12.079,0.002768,12.464,0.00297,11.532,0.003823,10.938,0.024,10.585,0.018,10.506,0.017,-1.1,0.015,-0.191,0.006,0.064,0.003,-0.327,0.006,0.608,0.003,1.232,0.007,1.566,0.010,1.67,0.011,0.92,0.016,0.756,0.014
WASP-150,4.147,0.027,0.18,0.11,6250,80,0,1.831,0.0119,13.118,0.288,12.123,0.181,11.91,0.002764,12.179,0.002888,11.482,0.003826,11.058,0.027,10.789,0.03,10.747,0.021,-0.627,0.036,-0.047,0.012,0.111,0.008,-0.149,0.013,0.518,0.015,0.956,0.028,1.158,0.039,1.234,0.041,1.651,0.03,1.07,0.025
WASP-151,4.35,0.03,0.1,0.1,5871,57,0,2.17,0.0177,12.046,0.172,11.296,0.125,12.618,0.00277,12.958,0.002946,12.115,0.003859,11.545,0.022,11.259,0.024,11.187,0.021,-0.807,0.032,-0.104,0.010,0.093,0.007,-0.22,0.011,0.559,0.011,1.08,0.020,1.344,0.027,1.428,0.029,1.181,0.02,1.187,0.021
WASP-153,4.1,0.06,0.34,0.11,5914,64,0,1.682,0.0092,13.078,0.299,12.015,0.176,12.489,0.002764,12.822,0.002879,11.993,0.003801,11.408,0.023,11.138,0.023,11.051,0.017,-0.805,0.033,-0.08,0.011,0.111,0.007,-0.202,0.012,0.575,0.011,1.08,0.019,1.322,0.027,1.412,0.028,1.73,0.1,1.55,0.1
WASP-156,4.6,0.07,0.24,0.12,4910,61,0,8.207,0.0213,12.342,0.183,11.632,0.131,11.321,0.002786,11.817,0.002907,10.674,0.003815,9.906,0.022,9.473,0.023,9.339,0.023,-1.544,0.063,-0.41,0.031,-0.037,0.014,-0.542,0.029,0.606,0.006,1.394,0.017,1.853,0.030,1.982,0.033,0.76,0.03,0.51,0.02
WASP-157,4.5,0.2,0.34,0.09,5840,140,0,2.943,0.0276,12.976,0.324,12.92,0.339,12.17,0.002766,12.518,0.00286,11.665,0.003811,11.11,0.026,10.799,0.023,10.764,0.023,-0.857,0.079,-0.096,0.026,0.106,0.011,-0.22,0.031,0.584,0.016,1.105,0.046,1.362,0.068,1.453,0.073,1.134,0.051,1.065,0.047
WASP-158,4.3,0.11,0.24,0.1,6350,150,0,1.851,0.0253,12.919,0.245,12.124,0.176,12.081,0.002764,12.361,0.002847,11.644,0.003803,11.178,0.026,10.957,0.023,10.881,0.025,-0.595,0.064,-0.034,0.018,0.116,0.008,-0.133,0.022,0.509,0.025,0.926,0.054,1.112,0.075,1.187,0.078,1.39,0.18,1.07,0.15
WASP-159,3.94,0.04,0.22,0.12,6000,150,0,1.372,0.0098,12.567,0.193,12.801,0.237,12.288,0.002764,12.592,0.002863,11.821,0.003796,11.309,0.024,11.02,0.024,11.017,0.019,-0.741,0.077,-0.073,0.024,0.108,0.011,-0.187,0.029,0.554,0.020,1.044,0.051,1.279,0.075,1.363,0.079,2.11,0.1,1.38,0.09
WASP-160,4.44,0.05,0.149,0.02,5218,18,0,3.448,0.012,11.863,0.072,11.424,0.076,12.874,0.002766,13.318,0.002875,12.272,0.003815,11.591,0.03,11.172,0.024,11.055,0.021,-1.247,0.015,-0.262,0.007,0.028,0.003,-0.401,0.007,0.606,0.001,1.296,0.006,1.682,0.010,1.794,0.010,0.872,0.013,1.093,0.022
WASP-161,4.111,0.033,0.16,0.09,6406,100,0,2.808,0.0158,11.769,0.086,11.145,0.086,10.9,0.002763,11.142,0.002822,10.506,0.003794,10.09,0.023,9.906,0.026,9.837,0.025,-0.561,0.035,-0.033,0.012,0.111,0.008,-0.128,0.013,0.493,0.016,0.902,0.032,1.082,0.044,1.155,0.046,1.712,0.083,1.143,0.065
WASP-162,4.33,0.03,0.28,0.13,5300,100,0,3.25,0.0171,11.611,0.088,9.886,0.036,12.056,0.002776,12.444,0.002893,11.506,0.003808,10.89,0.024,10.559,0.023,10.466,0.021,-1.205,0.083,-0.23,0.034,0.047,0.016,-0.371,0.035,0.614,0.010,1.277,0.033,1.637,0.054,1.748,0.058,1.11,0.05,1.0,0.05
WASP-163,4.411,0.042,-0.34,0.21,5500,200,0,3.818,0.0159,13.309,0.322,11.6,0.112,12.239,0.002794,12.77,0.003157,11.546,0.003944,10.673,0.026,10.288,0.026,10.147,0.021,-0.97,0.140,-0.198,0.055,0.043,0.025,-0.316,0.062,0.561,0.021,1.182,0.074,1.53,0.118,1.619,0.126,1.015,0.071,1.202,0.097
WASP-164,4.5,0.2,0.0,0.2,5800,200,0,3.066,0.0122,11.131,0.038,10.594,0.034,12.455,0.002778,12.813,0.002984,11.938,0.003842,11.365,0.024,11.04,0.024,10.959,0.021,-0.839,0.109,-0.123,0.039,0.083,0.019,-0.238,0.045,0.56,0.024,1.099,0.066,1.38,0.100,1.464,0.107,0.932,0.03,1.128,0.043
WASP-165,3.9,0.2,0.33,0.13,5600,150,0,1.685,0.0212,11.3,0.068,10.687,0.061,12.535,0.002771,12.898,0.002871,12.008,0.003817,11.439,0.023,11.125,0.024,11.024,0.023,-0.992,0.116,-0.141,0.042,0.088,0.019,-0.277,0.047,0.603,0.015,1.183,0.054,1.479,0.085,1.58,0.092,1.65,0.09,1.26,0.19
WASP-166,4.34,0.04,0.19,0.05,6050,50,0,8.752,0.0141,10.066,0.022,9.419,0.016,9.264,0.002761,9.544,0.002825,8.818,0.003794,8.35,0.021,8.135,0.033,8.032,0.023,-0.725,0.023,-0.072,0.007,0.106,0.003,-0.182,0.008,0.546,0.008,1.025,0.016,1.257,0.022,1.337,0.024,1.22,0.06,0.63,0.03
WASP-167,4.13,0.02,-0.04,0.18,6900,150,0,2.424,0.0303,11.004,0.051,10.566,0.047,10.579,0.002774,10.762,0.002841,10.266,0.003809,9.929,0.022,9.827,0.028,9.76,0.021,-0.407,0.033,-0.02,0.020,0.088,0.017,-0.093,0.018,0.394,0.028,0.722,0.045,0.847,0.059,0.91,0.061,1.79,0.05,1.56,0.05
WASP-168,4.37,0.05,-0.01,0.09,6000,100,0,3.337,0.0094,12.341,0.15,12.147,0.168,11.71,0.002763,11.999,0.002844,11.256,0.003793,10.778,0.023,10.493,0.025,10.443,0.026,-0.732,0.044,-0.094,0.015,0.09,0.008,-0.2,0.017,0.535,0.013,1.03,0.032,1.279,0.046,1.357,0.049,1.12,0.06,1.5,0.5
WASP-169,3.958,0.076,0.06,0.07,6110,101,0,1.608,0.0146,12.492,0.23,12.201,0.225,11.713,0.002767,11.999,0.002851,11.266,0.003825,10.8,0.026,10.552,0.022,10.483,0.025,-0.673,0.048,-0.07,0.015,0.101,0.006,-0.174,0.018,0.526,0.015,0.997,0.036,1.223,0.051,1.301,0.054,2.011,0.188,1.304,0.15
WASP-170,4.466,0.031,0.22,0.09,5600,150,0,3.298,0.0117,13.308,0.315,12.748,0.234,12.463,0.002774,12.883,0.003047,11.877,0.003863,11.133,0.026,10.84,0.023,10.724,0.023,-0.984,0.076,-0.15,0.027,0.081,0.012,-0.28,0.031,0.595,0.012,1.178,0.040,1.482,0.061,1.579,0.066,0.938,0.061,1.096,0.085
WASP-171,4.08,0.049,0.04,0.07,5965,100,0,1.376,0.0109,11.863,0.086,11.406,0.095,12.429,0.002761,12.74,0.002824,11.956,0.00379,11.422,0.022,11.158,0.024,11.104,0.021,-0.745,0.046,-0.092,0.013,0.094,0.006,-0.202,0.017,0.543,0.013,1.045,0.031,1.295,0.045,1.376,0.048,1.637,0.091,0.98,0.07
WASP-172,4.05,0.05,-0.1,0.08,6900,150,0,1.894,0.0222,11.559,0.069,11.044,0.068,11.011,0.002764,11.206,0.002883,10.673,0.003801,10.312,0.023,10.169,0.022,10.13,0.019,-0.402,0.040,-0.022,0.013,0.085,0.008,-0.095,0.014,0.389,0.027,0.719,0.052,0.844,0.072,0.908,0.073,1.91,0.1,1.57,0.1
WASP-173,4.37,0.03,0.16,0.14,5700,150,0,4.244,0.0204,12.998,0.293,11.314,0.097,11.394,0.002865,11.724,0.00327,10.897,0.004031,10.374,0.05,10.084,0.065,10.002,0.05,-0.911,0.102,-0.131,0.036,0.086,0.016,-0.256,0.042,0.582,0.017,1.141,0.056,1.431,0.086,1.522,0.092,1.11,0.05,1.2,0.06
WASP-174,4.273,0.01,0.09,0.09,6400,100,0,2.431,0.022,11.846,0.085,10.782,0.06,11.677,0.002766,11.932,0.002841,11.266,0.003794,10.845,0.027,10.599,0.024,10.579,0.021,-0.567,0.041,-0.043,0.010,0.104,0.007,-0.135,0.013,0.487,0.020,0.899,0.038,1.086,0.052,1.157,0.054,1.347,0.018,1.437,0.05
WASP-175,4.359,0.045,0.15,0.069,6229,100,0,1.825,0.0136,11.882,0.087,10.465,0.041,12.696,0.002765,12.992,0.002856,12.242,0.003797,11.765,0.029,11.525,0.03,11.471,0.027,-0.641,0.041,-0.055,0.011,0.107,0.005,-0.156,0.014,0.518,0.015,0.962,0.033,1.17,0.046,1.245,0.049,1.204,0.064,1.208,0.081
WASP-176,3.995,0.053,0.15,0.08,6100,100,0,1.666,0.0152,12.881,0.223,12.086,0.162,11.931,0.002764,12.23,0.002856,11.473,0.003806,10.991,0.022,10.689,0.027,10.648,0.02,-0.686,0.044,-0.065,0.013,0.107,0.006,-0.172,0.016,0.535,0.014,1.005,0.032,1.229,0.046,1.309,0.048,1.925,0.047,1.505,0.05
WASP-177,4.486,0.049,0.25,0.04,5017,70,0,5.813,0.0197,12.813,0.33,11.913,0.218,12.065,0.002869,12.551,0.003522,11.422,0.004088,10.654,0.024,10.244,0.022,10.163,0.023,-1.44,0.061,-0.349,0.032,-0.01,0.015,-0.487,0.031,0.61,0.003,1.362,0.020,1.792,0.036,1.915,0.040,0.885,0.046,1.58,0.66
WASP-180,4.42,0.01,0.1,0.2,6500,150,0,3.842,0.0302,11.534,0.08,10.736,0.064,11.773,0.002862,12.103,0.003489,11.255,0.00408,10.675,0.03,10.333,0.025,10.276,0.021,-0.539,0.050,-0.037,0.020,0.102,0.016,-0.126,0.019,0.472,0.029,0.866,0.049,1.041,0.066,1.109,0.069,1.19,0.06,1.24,0.04
WASP-181,4.487,0.039,0.09,0.04,5839,70,0,2.322,0.0192,10.801,0.059,10.289,0.054,12.772,0.002781,13.094,0.002896,12.291,0.003849,11.785,0.027,11.522,0.026,11.443,0.023,-0.827,0.039,-0.111,0.012,0.09,0.004,-0.227,0.015,0.563,0.009,1.091,0.024,1.361,0.036,1.446,0.038,0.965,0.043,1.184,0.071
WASP-182,4.218,0.033,0.27,0.11,5638,100,0,3.045,0.0155,13.282,0.371,12.094,0.201,11.91,0.002771,12.264,0.00284,11.39,0.003791,10.831,0.024,10.519,0.025,10.431,0.019,-0.962,0.069,-0.138,0.025,0.087,0.012,-0.268,0.028,0.596,0.012,1.167,0.035,1.461,0.055,1.558,0.059,1.34,0.03,0.85,0.03
WASP-183,4.452,0.043,-0.31,0.04,5313,72,0,3.123,0.0176,11.431,0.065,10.204,0.035,12.806,0.00277,13.176,0.002888,12.267,0.00382,11.639,0.023,11.268,0.023,11.207,0.021,-1.097,0.051,-0.245,0.021,0.024,0.010,-0.37,0.023,0.575,0.004,1.244,0.024,1.63,0.039,1.727,0.042,0.871,0.038,1.47,0.94
WASP-184,4.09,0.05,0.12,0.08,6000,100,0,1.437,0.0165,11.843,0.086,10.749,0.057,12.559,0.002769,12.862,0.002898,12.093,0.003803,11.59,0.024,11.319,0.026,11.262,0.025,-0.735,0.050,-0.082,0.015,0.101,0.007,-0.192,0.018,0.545,0.014,1.037,0.034,1.278,0.049,1.36,0.052,1.65,0.09,1.33,0.09
WASP-185,4.13,0.05,-0.02,0.06,5900,100,0,3.565,0.016,11.883,0.107,11.174,0.096,10.895,0.002761,11.208,0.002924,10.414,0.003796,9.873,0.027,9.601,0.026,9.505,0.019,-0.773,0.059,-0.106,0.017,0.087,0.006,-0.216,0.022,0.545,0.014,1.063,0.038,1.327,0.056,1.408,0.059,1.5,0.08,1.25,0.08
WASP-186,4.193,0.029,-0.08,0.14,6361,105,0,3.527,0.0172,11.542,0.072,10.879,0.067,10.653,0.00276,10.905,0.002813,10.243,0.003804,9.781,0.022,9.613,0.022,9.532,0.018,-0.571,0.036,-0.061,0.016,0.091,0.011,-0.149,0.015,0.477,0.019,0.902,0.035,1.1,0.049,1.17,0.051,1.47,0.02,1.11,0.03
WASP-187,3.722,0.029,0.0,0.11,6150,92,0,2.778,0.0176,10.948,0.049,10.358,0.041,10.138,0.002762,10.449,0.0028,9.657,0.003788,9.117,0.024,8.906,0.027,8.79,0.02,-0.643,0.043,-0.067,0.015,0.1,0.008,-0.168,0.017,0.516,0.015,0.981,0.033,1.201,0.048,1.279,0.049,2.83,0.05,1.64,0.05
WASP-189,4.046,0.024,0.29,0.13,8000,80,0,10.1,0.0293,6.832,0.015,6.641,0.011,6.572,0.002779,6.658,0.002927,6.388,0.003943,6.166,0.026,6.12,0.04,6.06,0.021,-0.176,0.037,0.039,0.013,0.07,0.017,-0.015,0.013,0.213,0.045,0.369,0.073,0.373,0.091,0.433,0.093,2.365,0.025,1.6,0.017
WASP-190,4.17,0.04,-0.02,0.05,6400,100,0,1.791,0.0233,12.1,0.099,11.691,0.104,11.629,0.002767,11.854,0.00285,11.255,0.003803,10.859,0.023,10.694,0.023,10.65,0.024,-0.558,0.037,-0.052,0.010,0.096,0.004,-0.141,0.013,0.477,0.016,0.893,0.035,1.082,0.049,1.152,0.051,1.6,0.1,1.15,0.09
WASP-192,4.236,0.051,0.14,0.08,5900,150,0,2.035,0.0168,11.721,0.102,10.938,0.088,12.526,0.002764,12.851,0.002857,12.037,0.003804,11.493,0.023,11.193,0.023,11.137,0.023,-0.792,0.079,-0.096,0.025,0.097,0.010,-0.212,0.030,0.559,0.017,1.073,0.048,1.329,0.072,1.414,0.076,1.32,0.07,1.23,0.08
