ID,log(g),e_,[Fe/H],e_,Teff [K],e_,E(B-V),Plx [mas],e_,mBT [mag],e_,mVT [mag],e_,mG [mag],e_,mBP [mag],e_,mRP [mag],e_,mJ [mag],e_,mH [mag],e_,mK [mag],e_,BC_BT [mag],e_,BC_VT [mag],e_,BC_G [mag],e_,BC_BP [mag],e_,BC_RP [mag],e_,BC_J [mag],e_,BC_H [mag],e_,BC_K [mag],e_,R_star_old [solar ray],e_,R_exo_old [solar ray],e_
WASP-035,4.4,0.02,-0.05,0.05,6072,62,0,4.941,0.016,11.68,0.091,11.009,0.085,10.855,0.00276,11.158,0.002807,10.383,0.003792,9.887,0.03,9.598,0.023,9.525,0.021,-0.697,0.026,-0.088,0.008,0.089,0.004,-0.19,0.010,0.522,0.009,1.003,0.020,1.243,0.029,1.319,0.030,1.09,0.03,1.32,0.05
WASP-036,4.486,0.009,-0.01,0.05,5928,59,0,2.649,0.0129,12.772,0.287,12.454,0.259,12.618,0.002771,12.928,0.002856,12.146,0.003832,11.609,0.028,11.353,0.027,11.294,0.026,-0.771,0.030,-0.104,0.010,0.088,0.004,-0.213,0.012,0.544,0.008,1.055,0.020,1.316,0.030,1.396,0.032,0.985,0.014,1.327,0.021
WASP-037,4.39,0.03,-0.4,0.12,5940,55,0,2.626,0.0173,10.452,0.063,9.854,0.057,12.538,0.002784,12.851,0.0029,12.046,0.003804,11.499,0.022,11.181,0.026,11.093,0.023,-0.733,0.027,-0.129,0.010,0.063,0.007,-0.226,0.010,0.511,0.012,1.03,0.021,1.303,0.030,1.377,0.031,1.003,0.053,1.16,0.07
WASP-038,4.8,0.07,0.06,0.04,6436,60,0,7.337,0.0181,9.958,0.028,9.447,0.024,9.218,0.002761,9.485,0.002811,8.784,0.00379,8.287,0.023,8.106,0.047,7.998,0.04,-0.576,0.022,-0.052,0.006,0.096,0.004,-0.14,0.007,0.48,0.011,0.886,0.023,1.075,0.031,1.142,0.032,1.35,0.03,1.07,0.02
WASP-039,4.453,0.018,0.01,0.09,5485,50,0,4.644,0.0144,12.943,0.45,11.07,0.123,11.881,0.002765,12.28,0.002984,11.316,0.003803,10.663,0.024,10.307,0.023,10.202,0.023,-1.03,0.035,-0.186,0.013,0.059,0.007,-0.315,0.014,0.587,0.007,1.204,0.017,1.541,0.026,1.637,0.028,0.939,0.022,1.279,0.04
WASP-041,4.538,0.009,0.06,0.04,5546,33,0,6.119,0.0203,12.531,0.176,11.714,0.117,11.28,0.002843,11.67,0.003079,10.731,0.003905,10.096,0.024,9.752,0.024,9.677,0.019,-0.999,0.019,-0.17,0.007,0.067,0.003,-0.297,0.008,0.587,0.003,1.187,0.010,1.51,0.015,1.605,0.016,0.886,0.012,1.178,0.018
WASP-042,4.515,0.023,0.29,0.05,5315,79,0,5.621,0.0153,10.844,0.041,10.128,0.03,11.962,0.002762,12.454,0.002878,11.308,0.003793,10.542,0.025,10.103,0.022,10.033,0.022,-1.199,0.059,-0.227,0.024,0.049,0.011,-0.367,0.026,0.615,0.004,1.273,0.024,1.63,0.039,1.741,0.042,0.892,0.021,1.122,0.039
WASP-043,4.71,0.09,0.15,0.1,4240,30,0,11.474,0.0163,11.742,0.079,10.895,0.064,11.894,0.002879,12.66,0.003999,11.04,0.004466,9.995,0.024,9.397,0.025,9.267,0.026,-2.362,0.039,-0.963,0.033,-0.317,0.017,-1.049,0.032,0.495,0.008,1.573,0.009,2.242,0.015,2.407,0.017,0.698,0.014,1.08,0.02
WASP-044,4.526,0.02,0.06,0.1,5400,150,0,2.764,0.0199,9.003,0.018,8.897,0.016,12.884,0.00278,13.273,0.003084,12.336,0.003934,11.702,0.023,11.408,0.025,11.341,0.026,-1.097,0.122,-0.207,0.052,0.051,0.024,-0.34,0.055,0.596,0.010,1.235,0.052,1.586,0.087,1.687,0.094,0.865,0.038,1.002,0.038
WASP-045,4.47,0.014,0.36,0.12,5100,200,0,4.652,0.0226,13.826,0.428,11.984,0.176,12.04,0.00277,12.484,0.002839,11.441,0.003799,10.753,0.024,10.365,0.026,10.294,0.021,-1.39,0.200,-0.31,0.105,0.012,0.050,-0.451,0.100,0.619,0.014,1.343,0.066,1.744,0.120,1.868,0.130,0.917,0.024,0.992,0.038
WASP-046,4.489,0.013,-0.37,0.13,5600,150,0,2.688,0.0131,10.122,0.027,9.783,0.026,12.84,0.002769,13.177,0.002906,12.339,0.003811,11.753,0.023,11.465,0.025,11.401,0.026,-0.91,0.085,-0.179,0.029,0.05,0.012,-0.292,0.034,0.552,0.016,1.147,0.048,1.478,0.074,1.563,0.079,0.858,0.027,1.174,0.037
WASP-047b,4.3437,0.0063,0.36,0.05,5576,67,0,3.701,0.0201,13.369,0.425,11.701,0.168,11.782,0.002769,12.172,0.002893,11.229,0.003826,10.613,0.022,10.31,0.022,10.192,0.026,-1.02,0.049,-0.149,0.018,0.086,0.008,-0.285,0.020,0.608,0.006,1.193,0.024,1.493,0.037,1.595,0.040,1.137,0.013,1.128,0.013
WASP-047c,4.3437,0.0063,0.36,0.05,5576,67,0,3.701,0.0201,13.369,0.425,11.701,0.168,11.782,0.002769,12.172,0.002893,11.229,0.003826,10.613,0.022,10.31,0.022,10.192,0.026,-1.02,0.048,-0.149,0.017,0.086,0.007,-0.285,0.019,0.608,0.006,1.193,0.023,1.493,0.035,1.595,0.038,1.137,0.013,0.1613,0.0023
WASP-047d,4.3437,0.0063,0.36,0.05,5576,67,0,3.701,0.0201,13.369,0.425,11.701,0.168,11.782,0.002769,12.172,0.002893,11.229,0.003826,10.613,0.022,10.31,0.022,10.192,0.026,-1.02,0.046,-0.149,0.017,0.086,0.008,-0.285,0.019,0.608,0.006,1.193,0.022,1.493,0.034,1.595,0.037,1.137,0.013,0.3182,0.004
WASP-048,4.101,0.023,-0.12,0.12,6000,150,0,2.164,0.0104,12.455,0.182,11.722,0.135,11.519,0.002763,11.785,0.00289,11.095,0.003816,10.627,0.025,10.441,0.032,10.372,0.022,-0.714,0.066,-0.099,0.021,0.084,0.010,-0.202,0.025,0.525,0.020,1.024,0.047,1.275,0.069,1.353,0.072,1.519,0.051,1.396,0.051
WASP-049,4.406,0.019,-0.23,0.07,5600,150,0,5.132,0.0158,12.048,0.097,11.418,0.077,11.289,0.002766,11.653,0.002832,10.757,0.003797,10.146,0.024,9.812,0.027,9.749,0.021,-0.923,0.098,-0.171,0.035,0.057,0.015,-0.288,0.041,0.561,0.015,1.154,0.055,1.479,0.087,1.566,0.092,1.038,0.038,1.198,0.047
WASP-050,4.509,0.013,0.13,0.04,5518,42,0,5.487,0.0174,12.694,0.271,11.55,0.13,11.544,0.002809,11.933,0.003168,10.993,0.003927,10.401,0.022,10.041,0.022,9.969,0.021,-1.026,0.031,-0.173,0.011,0.068,0.005,-0.304,0.013,0.594,0.004,1.2,0.015,1.525,0.024,1.622,0.026,0.855,0.019,1.138,0.026
WASP-052,4.553,0.01,0.03,0.12,5000,100,0,5.726,0.0134,11.704,0.078,10.8,0.064,11.946,0.002871,12.416,0.003789,11.32,0.004233,10.588,0.022,10.186,0.028,10.086,0.025,-1.413,0.089,-0.357,0.046,-0.02,0.022,-0.492,0.044,0.598,0.007,1.358,0.028,1.804,0.053,1.922,0.057,0.786,0.016,1.253,0.027
WASP-053,4.553,0.02,0.22,0.11,4950,60,0,4.985,0.0113,13.007,0.284,12.119,0.189,12.336,0.002766,12.823,0.002904,11.696,0.003832,10.959,0.026,10.474,0.022,10.39,0.023,-1.499,0.062,-0.385,0.031,-0.027,0.014,-0.52,0.029,0.606,0.007,1.381,0.018,1.831,0.032,1.956,0.035,0.798,0.023,1.074,0.037
WASP-054,3.997,0.035,0.0,0.04,6296,40,0,3.986,0.02,11.139,0.071,10.482,0.059,10.248,0.002775,10.518,0.002947,9.815,0.00383,9.365,0.022,9.135,0.027,9.035,0.023,-0.591,0.014,-0.056,0.005,0.099,0.003,-0.15,0.005,0.495,0.006,0.93,0.012,1.131,0.017,1.204,0.018,1.828,0.091,1.653,0.09
WASP-055,4.419,0.015,0.09,0.04,6070,53,0,3.419,0.0204,12.928,0.32,11.857,0.191,11.767,0.002773,12.084,0.002861,11.284,0.003796,10.775,0.027,10.443,0.023,10.396,0.024,-0.709,0.024,-0.078,0.007,0.099,0.003,-0.184,0.009,0.534,0.008,1.012,0.018,1.247,0.025,1.324,0.027,1.102,0.021,1.335,0.032
WASP-056,4.35,0.02,0.12,0.06,5600,100,0,3.047,0.0162,13.089,0.287,11.617,0.115,11.995,0.002767,12.352,0.002893,11.48,0.003803,10.874,0.021,10.603,0.022,10.532,0.019,-0.967,0.060,-0.154,0.021,0.075,0.009,-0.281,0.025,0.587,0.008,1.172,0.031,1.481,0.048,1.576,0.052,1.112,0.026,1.092,0.035
